Issue Date;Title;Author(s)
31/12/21;Kajian Metode Segmentasi Watershed pada Klasifikasi Tutupan Tajuk Hutan Mangrove: Studi Kasus di Kalimantan Barat;"Jaya, I Nengah Surati; Putri, Ardhya Zahra Gunara"
31/12/21;Perubahan Tutupan Lahan Pada Tahun 2015 dan 2020 di Kecamatan Leuwiliang, Kabupaten Bogor Berdasarkan Citra Landsat 8;"Priyanto, Priyanto; Pradana, Diaz Ardia"
31/12/21;Peluang Penerapan Produksi Bersih pada Industri Tahu di Kabupaten Dairi;"Ismayana, Andes; Tinendung, Iman Sary"
31/12/21;Analisis Transkriptomik Tanaman Kamper (Dryobalanops aromatica) yang Ditumbuhkan pada Media Gambut dan Tanah Mineral;"Siregar, Iskandar Zulkarnaen; Kusuma, Yosie Syadza"
31/12/21;Respon Pertumbuhan dan Hasil Kangkung (Ipomoea reptans Poir) terhadap Aplikasi Kascing, Bioboost, dan Residunya;"Sudarsono, Sudarsono; Dinarti, Diny; Btr, Muhammad Khoir"
31/12/21;Profil Parameter Eritrosit Induk Sapi Friesian Holstein Bunting Sesudah Pemberian Vaksin Avian Influenza Inaktif Subtipe H5N1;"Esfandiari, Anita; Muranta, Fajri"
30/12/21;Pengendalian Serangan Blue stain pada Pengolahan Kayu Balsa (Ochroma pyramidale) dengan TCMBT dan MBT;"Hermawan, Dede; Priadi, Trisna; Subekti, Brilliant Gigih"
30/12/21;Pengembangan usaha kambing perah untuk menekan kerentanan dan meningkatkan resiliensi rumah tangga petani;"Nuryartono, Nunung; Kusnadi, Nunung; Khotimah, Nurul"
30/12/21;Pengelolaan Taman Wisata Perairan Gili Sulat dan Gili Lawang Lombok Timur sebagai Ekowisata Bahari yang Berkelanjutan.;"Yonvitner; Yulianto, Gatot; Nani, Mariun"
30/12/21;Potensi Limbah Penyulingan Minyak Atsiri Biji Pala dan Gagang Cengkeh sebagai Bahan Baku Biobriket;"Agustina, Sri Endah; Kholifah, Lina Siti"
30/12/21;Interaksi dan Peran Suami Istri serta Kepuasan Perkawinan Keluarga Dual Earner dengan Anak Sekolah;"Krisnatuti, Diah; Wulansari, Desi"
30/12/21;Biologi Populasi Kepiting Bakau (Scylla spp.) serta Keterkaitannya dengan Struktur Habitat Mangrove Bee Jay Bakau Resort, Probolinggo;"Bengen, Dietriech Geoffrey; Zamani, Neviaty Putri; Putri, Audina"
30/12/21;Autekologi Castanopsis argentea (Blume) A.DC. di Kawasan Cagar Alam Telaga Warna, Kabupaten Bogor;"Sulistijorini; Djuita, Nina Ratna; Putri, Dianti Mayadika"
30/12/21;Pengembangan usaha kambing perah untuk menekan kerentanan dan meningkatkan resiliensi rumah tangga petani;"Nuryartono, Nunung; Kusnadi, Nunung; Khotimah, Nurul"
30/12/21;Faktor-faktor yang Berhubungan dengan Status Gizi dan Perkembangan Kognitif Anak Usia Prasekolah;"Kustiyah, Lilik; Dwiriani, Cesilia Meti; Widodo, Yekti; Puspitasari, Dwi Anggraeni"
28/12/21;Penilaian Daur Hidup (Life Cycle Assessment) Produk Tepung Agar dan Karagenan (Studi Kasus di PT. XYZ Pasuruan);"Indrasti, Nastiti Siswi; Yani, Mohamad; Zuhria, Siti Aminatu"
28/12/21;Bioelectricity Production from Citrobacter freundii GBH253 and Chlorella pyrenoidosa on Microbial Fuel Cell Anode with Different Carbon Sources;"Meryandini, Anja; Santosa, Dwi Andreas; Ridwan, Roni; Fauzan, Irfan Anwar"
27/12/21;Analisis Pengembangan Agribisnis Strategis Kabupaten Cilacap;"Krisnamurthi, Bayu; Warsih, Diana"
27/12/21;Deskripsi dan Kunci Identifikasi Parasitoid Nyamuk Ganjur Alang-Alang Orseolia javanica Kieffer & Van Leeuwen-Reijnvaan (Diptera: Cecidomyiidae) di Kabupaten Bogor dan Cianjur;"Hidayat, Purnama; Harahap, Idham Sakti; Maqsalina, Marich Nur"
