issued_date,title,authors,tanggal_valid,subject,cluster
,Morfogenetik dan Genetika Populasi Ophiocoma scolopendrina (Echinodermata: Ophiuroidea) di Perairan Pesisir Aceh Besar,"['Madduppa, Hawis', ' Zamani, Neviaty Putri', ' Mursawal, Asri']",False,"['populasi', 'perairan', 'pesisir', 'aceh']",19
,Pemanfaatan Tempat Pembuangan Akhir (TPA) Jatibarang Semarang oleh Kuntul kerbau (Bubulcus ibis Linnaeus 1758),"['Mardiastuti, Ani', ' Mulyani, Yeni Aryati', ' Fadila, Muhammad Imam']",False,['pemanfaatan'],19
,Analisis Kadar 3-MCPDE dan GE pada Susu Formula dengan Metode Gas Chromatography Mass Spectrometry (AOCS Cd29a-13:2013),"['Andarwulan, Nuri', ' Faridah, Didah Nur', ' Maulina, Yuliffa Ika Putri']",False,"['analisis', 'kadar', 'susu', 'metode']",19
,Keefektifan Tetragonula laeviceps (Apidae: Meliponinae) dan Serangga Penyerbuk Lain dalam Penyerbukan Tanaman Cabai dan Estimasi Nilai Ekonominya.,"['Nurmansyah, Ali', ' Mubin, Nadzirum', ' Rohmah, Atia']",False,"['serangga', 'tanaman', 'cabai', 'estimasi', 'nilai', 'tanaman cabai', 'estimasi nilai']",116
,Analisis Alokasi Anggaran Kosmetik Halal Bagi Perempuan Bekerja di Kota Bogor,"['Wiliasih, Ranti', ' Rodhiyah, Rifah']",False,"['analisis', 'perempuan', 'kota', 'bogor', 'kota bogor']",35
,Analisis Kepribadian dan Preferensi Risiko Investor Dalam Penggunaan Aplikasi Online Trading,"['Ermawati, Wita Juwita', ' Fariyanti, Anna', ' Siregar, Hasnah Sabrina']",False,"['analisis', 'preferensi', 'risiko', 'penggunaan', 'aplikasi', 'online']",19
,Analisis Potensi Senyawa Aktif Brokoli (Brassica oleracea L var. italica) dalam Menginhibisi Kelch-like Ech-associated Protein 1 pada Penderita Diabetes Tipe 2,"['Hasim', ' Ambarsari, Laksmi', ' Haridas, Rosa Berlina']",False,"['analisis', 'potensi', 'senyawa', 'aktif', 'var', 'protein', 'tipe', 'analisis potensi']",22
,Strategi Pemasaran Produk Kopi Ready to Drink Industri Kecil Menengah Agroindustri Kopi Dompet Dhuafa di Bogor,"['Raharja, Sapta', ' Suharjo, Budi', ' Hidayat, Adhi Nur']",False,"['bogor', 'strategi', 'pemasaran', 'produk', 'kopi', 'to', 'industri', 'menengah', 'agroindustri']",19
,"Perilaku Afiliatif Pasangan Owa Jawa (Hylobates moloch) di Pusat Rehabilitasi Primata Jawa, Ciwidey, Jawa Barat","['Perwitasari, RR Dyah', ' Iskandar, Entang', ' Pradekso, Nur Aisyah']",False,"['perilaku', 'jawa', 'pusat', 'barat', 'jawa barat']",54
,Analisis Manfaat Ekonomi dan Daya Dukung Sebagai Dasar Pengelolaan Wisata Air Terjun Cibeureum Resort Cibodas Taman Nasional Gunung Gede Pangrango,"['Ekayani, Meti', ' Sunkar, Arzyana', ' Lakspriyanti, Anindika Putri']",False,"['analisis', 'ekonomi', 'daya', 'dasar', 'pengelolaan', 'wisata', 'air', 'taman', 'nasional', 'gunung', 'taman nasional', 'nasional gunung', 'taman nasional gunung']",28
,Strategi Pengembangan Koperasi Pengolahan Rumput Laut dengan Pendekatan Business Model Canvas,"['Baga, Lukman M', ' Burhanuddin', ' Mahdi, Ammar Fathin']",False,"['strategi', 'pengembangan', 'pengolahan', 'rumput', 'laut', 'pendekatan', 'model', 'strategi pengembangan']",23
,Dampak Kegiatan Pembangkit Listrik Tenaga Uap terhadap Nelayan Kecil di Pelabuhan Perikanan Nusantara Palabuhanratu,"['Solihin, Akhmad', ' Astarini, Julia Eka', ' Angelina, Gita']",False,"['dampak', 'kegiatan', 'tenaga', 'nelayan', 'pelabuhan', 'perikanan', 'nusantara', 'pelabuhan perikanan']",13
