Issue Date;Title;Author(s);;
2020;Morfogenetik dan Genetika Populasi Ophiocoma scolopendrina (Echinodermata: Ophiuroidea) di Perairan Pesisir Aceh Besar;"Madduppa, Hawis; Zamani, Neviaty Putri; Mursawal, Asri";;
2020;Pemanfaatan Tempat Pembuangan Akhir (TPA) Jatibarang Semarang oleh Kuntul kerbau (Bubulcus ibis Linnaeus 1758);"Mardiastuti, Ani; Mulyani, Yeni Aryati; Fadila, Muhammad Imam";;
2020;Analisis Kadar 3-MCPDE dan GE pada Susu Formula dengan Metode Gas Chromatography Mass Spectrometry (AOCS Cd29a-13:2013);"Andarwulan, Nuri; Faridah, Didah Nur; Maulina, Yuliffa Ika Putri";;
2020;Keefektifan Tetragonula laeviceps (Apidae: Meliponinae) dan Serangga Penyerbuk Lain dalam Penyerbukan Tanaman Cabai dan Estimasi Nilai Ekonominya.;"Nurmansyah, Ali; Mubin, Nadzirum; Rohmah, Atia";;
2020;Analisis Alokasi Anggaran Kosmetik Halal Bagi Perempuan Bekerja di Kota Bogor;"Wiliasih, Ranti; Rodhiyah, Rifah";;
2020;Analisis Kepribadian dan Preferensi Risiko Investor Dalam Penggunaan Aplikasi Online Trading;"Ermawati, Wita Juwita; Fariyanti, Anna; Siregar, Hasnah Sabrina";;
2020;Analisis Potensi Senyawa Aktif Brokoli (Brassica oleracea L var. italica) dalam Menginhibisi Kelch-like Ech-associated Protein 1 pada Penderita Diabetes Tipe 2;"Hasim; Ambarsari, Laksmi; Haridas, Rosa Berlina";;
2020;Strategi Pemasaran Produk Kopi Ready to Drink Industri Kecil Menengah Agroindustri Kopi Dompet Dhuafa di Bogor;"Raharja, Sapta; Suharjo, Budi; Hidayat, Adhi Nur";;
2020;Perilaku Afiliatif Pasangan Owa Jawa (Hylobates moloch) di Pusat Rehabilitasi Primata Jawa, Ciwidey, Jawa Barat;"Perwitasari, RR Dyah; Iskandar, Entang; Pradekso, Nur Aisyah";;
2020;Analisis Manfaat Ekonomi dan Daya Dukung Sebagai Dasar Pengelolaan Wisata Air Terjun Cibeureum Resort Cibodas Taman Nasional Gunung Gede Pangrango;"Ekayani, Meti; Sunkar, Arzyana; Lakspriyanti, Anindika Putri";;
2020;Strategi Pengembangan Koperasi Pengolahan Rumput Laut dengan Pendekatan Business Model Canvas;"Baga, Lukman M; Burhanuddin; Mahdi, Ammar Fathin";;
2020;Dampak Kegiatan Pembangkit Listrik Tenaga Uap terhadap Nelayan Kecil di Pelabuhan Perikanan Nusantara Palabuhanratu;"Solihin, Akhmad; Astarini, Julia Eka; Angelina, Gita";;
2020;Analisis Faktor-Faktor Yang Memengaruhi Willingness To Pay Masyarakat Terhadap Ruang Terbuka Hijau Di Kota Bogor (Studi Kasus: Taman Kresna) Mahasiswa Institut Pertanian Bogor;"Nindyantoro; Nababan, Benny Osta; Alam, Fadil Rahmadian Syah";;
2020;Evaluasi Indeks Curah Hujan pada Kondisi Banjir di Wilayah Jakarta - Indoneisa.;"Santikayasa, I Putu; Taufik, Muh.; Damanik, Agata Angela";;
2020;Aplikasi Response Surface Methodology untuk Optimasi Ekstraksi Gelatin dari Kulit Ikan Patin dan Pemanfaatannya sebagai Kapsul Keras;"Nugraha, Roni; Nurilmala, Mala; Sriwahyuni, Diah";;
2020;Kapasitas Adaptif Komunitas Nelayan dalam Menghadapi Kerusakan Ekosistem Laut;"Pandjaitan, Nurmala K.; Hutagaol, Eryanti Sihol M.";;
2020;Pemodelan Nukleotida dan Sekuens Asam Amino yang Sesuai Dengan Menggunakan Partitur Musik;"Suwanto, Antonius; Priyanto, Jepri Agung; Tenri, Ismail Maulana";;
2020;Pengembangan API gRPC dan GraphQL Server untuk Aplikasi Marketplace Tokocabai;"Rachmaniah, Meuthia; Darissalam, Muhammad Idzhar";;
2020;Penggunaan Ruang berdasarkan Perilaku Bergerak Owa Jawa (Hylobates moloch) di Pusat Rehabilitasi Primata Jawa, Ciwidey, Jawa Barat;"Perwitasari, RR Dyah; Iskandar, Entang; Selviyanti, Karenina";;
2020;Kajian Regresi Poisson, Poisson Terampat, dan Binomial Negatif Pada Data Kemiskinan di Indonesia;"Aidi, Muhammad Nur; Silvianti, Pika; Ambarita, Dicky Okada";;
2020;Analisis Fitokimia, Ekstraksi, Fraksionasi, dan Ulasan Potensi Temu Mangga (Curcuma mangga) sebagai Antioksidan;"Mas ud, Zainal Alim; Sugita, Purwantiningsih; Apitasari, Monica";;
2020;Penurunan Tegangan Permukaan dan Daya Hambat Escherichia coli dan Staphylococcus aureus oleh Ekstrak Daun Graptophyllum pictum (L.) Griff;"Andrianto, Dimas; Safithri, Mega; Nurinsani, Elgiani Yassifa Yulia";;
2020;Sintesis Grafena sebagai Bahan Dasar Fabrikasi Screen Printed Carbon Electrode dengan Teknik Sablon;"Heryanto, Rudi; Wahyuni, Wulan Tri; Ramadhanti, Desi";;
2020;Pengembangan Front-end Aplikasi Marketplace Tokocabai berbasis Web;"Rachmaniah; Krismanti, Maya Maharani";;
2020;Konstruksi Persamaan Friedmann Alam Semesta Friedmann-Lemaitre-Robertson-Walker Termodifikasi Materi Gelap Superfluida;"Alatas, Husin; Sumaryada, Tony Ibnu; Akbar, Nugrah Abil";;
2020;Analisis Kestabilan pada Model Epidemik SIR dengan Waktu Diskret.;"Sumarno, Hadi; Kusnanto, Ali; Putri, Fajr Nida Akhlul Hikmah";;
2020;Aktivitas Ekstrak Temulawak terhadap Pertumbuhan Tumor Mammae Tikus Sprague Dawley yang Diinduksi DMBA;"Hasan, Akhmad Endang Zainal; Handharyani, Ekowati; Wahyuni, Sri";;
2020;Populasi dan Komposisi Gastropoda Air Tawar di Beberapa Situ Dengan Persentase Pemukiman Berbeda di Kabupaten Bogor;"Priawandiputra, Windra; Mujiono, Nova; Yasrila, Suci Trima";;
2020;Karakterisasi Ekstrak Secang (Caesalpinia sappan) Menggunakan Spektrofotometer UV-Vis dan Telaah Mengenai Aplikasi Zat Warna pada Semikonduktor TiO2;"Arif, Zulhan; Wahyuni, Wulan Tri; Listiana, Tri Sunti";;
2020;Telaah Metabolit Sekunder dan Inhibisi Ciplukan, Alang-Alang, Pandan, dan Pepaya terhadap Aktivitas Enzim Pengonversi Angiotensin.;"Trivadila; Iswantini P, Dyah; Dalimunthe, Yulia Mayam Sari";;
2020;Pendugaan Value-at-Risk dan Expected-Shortfall Portofolio dari Tiga Aset Keuangan dengan Pendekatan Copula-ARMA-GARCH;"Budiarti, Retno; Mangku, I Wayan; Rahmawati, Vinni Maulidina";;
2020;Kombinasi Ekstrak Etanol Temulawak dan Propolis sebagai Antitumor Mammae pada Tikus Sprague-Dawley.;"Hasan, Akhmad Endang Zainal; Handharyani, Ekowati; Susilawati";;
2020;Pendugaan VaR dan TVaR Berdasarkan Model Drawable Vine Copula dengan Simulasi Monte Carlo;"Ruhiyat; Budiarti, Retno; Amalia, Unun Rizka";;
2020;Profil Metabolit Ekstrak Daun Sembung (Blumea balsamifera) Menggunakan Kromatografi Cair-Spektrometri Massa;"Heryanto, Rudi; Rafi, Mohamad; Anindya, Weni";;
2020;Analisis In-Silico Pegaruh Konformasi Molekul Benzileugenol Dibromida pada Sinyal Resonans Magnetik Inti;"Mas_ud, Zainal Alim; Irfana, Luthfan; Octonariz, Vito Zhafran";;
2020;Analisis Keberlanjutan dan Strategi Kebijakan Lahan Pertanian Pangan di Kota Bogor;"Nindyantoro; Gandhi, Prima; Darmawan, Irham";;
