authors
Ma'arif, Syamsul
Amanah, Siti
Suartini, Iin
Yamin, Moh
Mulatsih, Sri
Akmalia, Ari Dina
Anggraeni, Lukytawati
Andati, Trias
Kusumaningrum, Dewi
Rinaldi, Achi
Firdaus, Muhammad
Rachmina, Dwi
Prihatiningtyas, Marseli Chris
Nindita, Anggi
Kartika, Delima Ragil
Arifin, Hadi Susilo
Muhammad, Afdhal
Utami, Fitriyah Nurul Hidayati
Zulfikar, Arya
Syafitri, Utami Dyah
Sulvianti, Itasia Dina
Utami, Amaranti Sih
Fatimah, Indung Sitti
Gani, Annisa Utami
Sudradjat
Diyansyah, Avan Nur
Madduppa, Hawis H.
Humphries, Austin T.
Herjana, Nugraha Agung
Alimuddin
Maulana, Fajar
Abdurrachman, Muhammad Luthfi
Bengen, Dietriech G.
Srimariana, Endang Sunarwati
Karuniaillahi, Mutiara Tiffani
Prartono, Tri
Kussuryani, Yanni
Prastiko, Rendy Budi
Suptijah, Pipih
Abdullah, Asadatun
Maharani, Siti Agni
Jusadi, Dedi
Ekasari, Julie
Silalahi, Marcellinus
Tarman, Kustiariyah
Nurhayati, Tati
Fatmila, Kiki Galih
Hestirianoto, Totok
Pujiyati, Sri
Rifaldi, Muhammad
Ayu, Inna Puspa
Pratiwi, Niken TM
Maulidiya, Ida
Hubeis, Musa
Riani, Etty
Dewi, Mariena
i Febrianto, Fauz
Herliana, Elis Nina
Asmur, Muhammad Anchu Kastian
Muljono, Pudji
Sadono, Dwi
Ikhsan
Suganda, Sulaeman Marta
i Woyono, Eko Sr
Adam, Marwan
Hermawan, Aji
Yuliasih, Indah
Supriadi, Jejen
Masy'ud, Burhanuddin
Meilani, Resti
Kurniawan, Achmad Rizki
Puspaningsih, Nining
Nurjaman, Agus
Widodo
Prasetyo, Gecci Dwi
Damayanti, Tri Asmira
Asmira, Tri
Hafizh, Muhammad Fikri
Harahap, Idham Sakti
Prasta, Enggar
Nuryanti, Pingkan
Avionita, Joanne
Susanto, Slamet
Rustani, Dona
Purnamawati, Heni
Wirnas, Desta
Maulana, Ikhsan
Wiryawan, Budy
Puspito, Gondo
Prianto, Teguh
Baihaqi, Muhamd
ENSD, Lucia Cyrilla
Ashari, Arif Hidayad
Jaya, Indra
Iqbal, Muhammad
Riyanto, Slamet
Siregar, Vincentius P.
Gaol, Jonson Lumban
Putri, Ulfah Rahma
Zamani, Neviaty Putri
Setyobudiandi, Isdrajad
Sofiani, Rosmalia
Ulupi, Niken
Satyaningtijas, Aryani S.
Anwar, David
Rahmawati, Yanti
Atabany, Afton
Komala, Iyep
Zein, Dilla Syauqi
Hermawan, Rachmad
Sunarminto, Tutut
Harisman, Muhammad Ikhsan
Wibowo, Cahyo
Hadi, Sofyan
Muntasib, E.K.S. Harini
Sunkar, Arzyana
Sitanggang, Pese Inka
Darmawan, I Wayan
Azhari, Moh
Mustari, Abdul Haris
Khairunnisa, Sri Reski
Jaya, I Nengah Surati
Anggraini, Nanin
Noventasari, Dwi
Kusmana, Cecep
Haneda, Noor Farikhah
Ramadhan, Bagas Kurnia
Hardjanto
Ghoni, Ilman
Hadi, Yusuf Sudo
Nikmatin, Siti
Massijaya, Muh Yusram
Solikhin, Achmad
Soeboer, Deni Achmad
Imron, Mohammad
Nugraha, Faizal Rivaldi
Diatin, Iis
Shafruddin, Dadang
Sari, Betti Purnama
Mashar, Ali
Butet, Nurlisa A.
Rossa, Diajeng Maretha Fabyana
Bengen, Dietriech G
Putri, Eliza Arieffiatiratna
Sumaryanto, Heru
Riyanto, Bambang
Hakim, Abdul Aziz
Tumbelaka, Ligaya ITA
Purwantara, Bambang
Nova, Vicky
Nurilmala, Mala
Mustopa, Apon Zaenal
Krisnawati, Devi Karoma
Utomo, Ingga Decke Khrysandri
Syaukat, Yusman
Falatehan, A. Faroby
Kusworoini, Ika Aprilia
Nuryati, Sri
Nirmala, Kukuh
Nurjanah, Lilis
Setiawati, Mia
Sunarno, Mas Tri Djoko
Pangentasari, Dwinda
Kaswanto
Mosyaftiani, Amarizni
Pribadi, Eko Sugeng
Dyah, Maharani,Maya Dewi
Puspaningrat, Luh Putu Desy
Sutrisno, Alfred Jansen
Suwardi
Sumawinata, Basuki
Rahmi, Eka
Jakaria
Arifiantini, Iis
Sitanggang, Gunawan
Hernowo, Jarwadi Budi
Prasetyo, Lilik Budi
Brillianti, Dwitantian Hawa
Krisantini
Wiendi, Ni Made Armini
Janati, Rahayu Ning
Putri, Meiliwati Widya
Khumaida, Nurul
Ardie, Sintho Wahyuning
Sansurya, Mohammad Erison Caesar
Hidayat, Purnama
Afifah, Mauliddini Nur
Hani', Rizkiya
Suprayudi, Muhammad Agus
Anugrah
Soviana, Susi
Hadi, Upik Kesumawati
Kamiring, Azery Bin
i Harahap, Idham Sakt
Rafidatillah, Ulfa
Munif, Abdul
Wulandari, Rafika Ridwan
Sinaga, Meity Suradji
Mardhatillah, Zahrusyka
Santosa, Edi
Tiffani
Guntoro, Dwi
Utomo, Wahyu
Mustika, Aulia Andi
Wintarsih, Ietje
Fadhillah, Anna Aesha
Indrawati, Agustin
Afiff, Usamah
Nugroho, Aditya Sandi
Djokosetyanto, Daniel
Sukowati, Aniek Suryani
Fuah, Asnath M.
Endrawati, Yuni Cahya
Hapsari, Danes Galuh Pramudhita Lingga
Priyanto, Rudy
Aditia, Edit Lesa
Pangestu, Muhammad Bintang
Tursiloadi, Silvester
Suryani, Ani
Tsany, Farah Athiyyah
Purwanto, Muhammad Yannuar Jarwadi
Widiatmaka
Prasetyo, Lilik B.
Budianto, Bambang Setio
Khomsan, Ali
Sukandar, Dadang
Riyadi, Hadi
Yulia, Cica
Nahrowi
Ridla, Muhammad
Yaman, Aman
Setiyono, Agus
Allaily
Sumardjo
Sarwititi, Sarwoprasodjo
Tambuan, Armansyah Halomoan
Luqman, Yanuar
Sucahyo
Nugroho, Naresworo
Karlinasari, Lina
Herawati, Evalina
Rianawati, Sri
Musalamah
Ariyanti, Nunik Sri
Rifai, Mien Ahmad
Lestari, Ria Windi
Randhi, Zulfathri
Sulistyaningsih, Yohana C.
Djuita, Nina Ratna
Apriliasih, Winny Wulan
Mulyati, Heti
Wijaya, Nur Hadi
Ramadhani, Bayu Galang
Pasaribu, Syamsul Hidayat
Martis, Nur'aina Ibrahim
Mulijani, Sri
Wulanawati, Armi
Tambunan, Veronica May
Batubara, Irmanida
Rohaeti, Eti
Sumaiyah
Purwaningsih, Henny
Sjahriza, Ahmad
Pauliana, Syariefianti
Iskandar, Hermanu Widjaja
Prasetya, Agung
Hazra, Fahrizal
Santosa, Dwi Andreas
Helmi, Robbi Aulia
Ilyas, Satriyas
Manohara, Dyah
Hikmawati, Ainun Nur Maulidina
Dalimunthe, Rivai
Wachjar, Ade
Direja, Wahyu Angga
Utami, Fitriyah Nurul H
Situmorang, Juan Ponce
Santoso, Sugeng
Lubis, Windar Hidayati
Suharsi, Tatiek Kartika
Syukur, Muhamad
Zebua, Mercy Julinda
Makelew, Afra D.N
Habi, Muchammad Syaif
Supramana
Mutaqin, Kikin Hamzah
Diana, Didiet Rahayu
Purwangka, Fis
Iskandar, BH
Jannah, Nurul Faizatil
Siregar, Hermanto
Putri, Eka Intan Kumala
Djajuli, Idja
Juliandi, Berry
Boediono, Arief
Sitanggang, Fajar Islam
Hastuti, Yuni Puji
Pratiknyo, Titis
Kawaroe, Mujizat
Wardiatno, Yusli
Saga, Muh. Mufty Izmu Abdillah
Nurjaya, I Wayan
Nurherdianto, Wahyu
Puspitawati, Herien
Yuliati, Noor Lilik
Laili, Mahsiani Mina
Saefuddin, Asep
Indahwati
Mardiah
Evvyernie, Dwiera
Harlina, Eva
Pujioktari, Preti
Abdullah, Luki
Yaman, M. Aman
Kumalasari, Nur Rochmah
Rosadi, Kathleya
Wahyuni, Ekawati Sri
Agusta, Ivanovich
Dewi, Marlina Afrian
Yonvitner
Imran, Zulhamsyah
Bibin, Muhammad
Zairin, Muhammad Junior
Widanarni
Siregar, Khoirotun Nisa
Haerullah, Medi
Pramudya, Bambang
Sumarno, Joshua Ronald
Hanif, Novriyandi
Setiawan, Andi
Yanti, Heri
Arif
Wahyuni, Wulan Tri
Maryam, Nova Lita Sri
Hoerudin
Fabriany, Sintya Dico
Sukoco, Heru
Muhammad, Fahmi Dzilikram
Madya, M. Miftahul
Perwitasari, Raden Roro Dyah
Mulyani, Yeni Aryati
Sahari, Bandung
Nurfaidah, Diane
Hasan, Akmad Endang Zainal
Julistiono, Heddy
Akbar, Geodani
Andrianto, Dimas
Rasyid, LA Harun Al
Pratama, Muhammad Rastra Teguh
Heryanto, Rudi
Prianti, Heapy
Wahjunie, Ennie Dwi
Baskoro, Dwi Putro Tejo
Kaiwa, Ogan
Khrisrachmansyah, Rezky
Nasrullah, Nizar
Imany, Wulidatul Binuril
Poerwanto, Roedhy
Efendi, Darda
Lieka, Metta Gitania
Winasa, I Wayan
Najah, Siti Kamila
Muhamad
Silaban, Yohanes Wijayanto
Maulana, Mohamad Akhbar
Zaman, Sofyan
Wijaya, Rivandi
Uju
Sandria, Nofri
Lubis, Djuara P
Sarma, Ma'mun
Reza, Muhammad
Adrianto, Luky
Kamal, Mohammad Mukhlis
Setiyaningsih, Nanik
Prastiyo, Yulius Budi
Koropitan, Alan Frendy
Idris, Muhamad Kemal
Sutriah, Komar
Sari, Yessie Widya
Sylvani, Miranti Maya
Wahju, Ronny Irawan
Rihmi, Mihrobi Khalwatu
Sitanggang, Imas Sukaesih
Rachmawati
Budiastra, I Wayan
Hawino, Christiandy
Astuti, Rika Indri
Listiyowati, Sri
Asshoolihah, Baaqiyatu
Hasan, Akhmad Endang Zainal
Dewi, Anggun Nia
Sugita, Purwantingsih
Khotib, Muhammad
Fakhrullah, Fadli
Pramuhadi, Gatot
Suryani, Yeni
Putri, Dea Ayu Andini
Khotimah, Husnul
Jannah, Aulya Rhoudlhathul
Hanum, Farida
Supriyo, Prapto Tri
Martiana, Tia Ayu
Dewi, Ajeng Yulia
Ekayani, Meti
Tampobolon, Bahroin Idris
Kartikasari, Deasy
Primassanti, Dissa
Sukmawati, Anggraini
Dewi, Fitri Kurnia
Novianti, Tanti
Ali, Khalifah Muhamad
Qoriatusadiah
Nurmalina, Rita
Bhinaryanti, Ina
Tinaprilla, Netti
Wahyu, Hafizd
Suharno
Fauziyyah, Muhjah
Nadia, Nufita
Murtini, Sri
Esfandiari, Anita
Ramdhani, Ervan Raka
Wahju, Roni Irawan
Diniah
Hakim, Fahrurrozi
Santoso, Koekoeh
Latif, Hadri
Wida, Putri Gusfani
Wahjuningrum, Dinamella
Ismet, Meutia Samira
Suryani, Nina
Wresdiyati, Tutik
Noviana, Deni
Putra, Prima Prasetya
Samosir, M Agustinus
Setiawan, Herlambang Diah
Sunartatie, Titiek
Rochman, RM Rizal Dwinto
Oktariza, Wawan
Astarini, Julia Eka
Faisal, Mhd
Pratiwi, Niken Tunjung Murti
Puspaningrum, Vena Ramdhania
Suryaningtyas, Dyah Tjahyandari
Darmawan
Rosalina, Febrianti
Tiryana, Tatang
Malau, Irene Fransiska
Arifjaya, Nana Mulyana
Wardhani, Annisa Choerinita Kusuma
Saadah, Khatimatus
Sumantri, Cece
Darwati, Sri
Cholifah, Umi Nur
Siswoyo
Sari, Rita Kartika
Karim, Fira Rizka
Najib, Mukhamad
Syamsun, Muhammad
Putra, Gershanda Ghiffari Dwi
Trison, Soni
Damayanti, Dewi
Syafii, Wasrin
Yusra, Izzatul
Sartono, Bagus
Silaban, Irene Imelda Juliaty
Farajallah, Achmad
Miura, Takeshi
Mulyana, Jeane Siswitasari
Rukmiasih
Fakhrudin, Mokh
Hardjosworo, Peni Soeprapti
Lase, Jonathan Anugrah
Muhandri, Tjahja
Utomo, Andika Wahyu
Budijanto, Slamet
Sitanggang, Azis Boing
Khairunnisa, Karimah
Adawiyah, Robiatul
Simaratika, Vincentia Septi
Prayoga, Aditya
Desrial
Farhah, Cut Sharfina
Sugiarto
Supriatna, Ade
Fardiaz, Dedi
Hastarini, Ema
Khamidah, Siti Zakiyatul
Sugianto, Wahyu Dwi
Purwanto, Bagus Priyo
Yani, Ahmad
Wijayanti, Vivi
Sajuthi, Dondin
Sulistiawati, Erni
Widyaputri, Tiara
Noor, Erliza
Arkeman, Yandra
Permana, Tabligh
Suryobroto, Bambang
Widayati, Kanthi Arum
Bagasworo, Ario
Fahrudin, Mokhamad
Hardjosworo, ,Peni Suprapti
Kurniawan, Yusuf
Setyawan, Nurdi
Dewi, Aniva Rizkia
o Budiarti, Retn
Lesmana, Donny Citra
Fryzky, Rian
Putri, Devina Daratyama
Giyanto
Permana, Indra
Kurniawati, Fitrianingrum
Hutauruk, Maurice Yosua
Baliwati, Yayuk Farida
Wijayanto, Syahrul Maulidan
M A Chozin
Tarigan, Hiskia Forestovel Juniver
Sunarti, Euis
Fadhlurrahman, Zuhdi
Sihaloho, Martua
Yuliasih
Suwarto
Sirait, Joel Fernando
Surahman, Memen
Mewangi, Jawa Arum
Rahmadi, Anang
Suparno, Ono
Dewi, Dita Oktoviani
Fauzan, Muhammad
Sudibyo, Tri
Syifaurrahman, Dzaky
Purwanto, M. Yanuar J.
Kusworo, Bahri
Arif, Chusnul
Firdaus, Bahri Ilman
Seminar, Kudang Boro
Budiarno
Iskandar
Dewi, Ana Rosliana
Sailah, Illah
Kartika, Ika Amalia
Tiyastuti, Retno
Bernia, Oky Tresia Ordian
Tambunan, Armansyah H.
Simbolon, Lambok Parulian
Gatot, Pramuhadi
Slamet, Widodo
Riski, Sudarmaji
Marimin
Mahabatika, Sabila
Gaol, Yantri Leonida Lumban
Nopiyanti, Nita
Iskandar, Ade
Faradhea, Nadhira
Herodian, Sam
Saputra, Tito Dwi
Solihah, Meidina Nur
Murdiyarso, Daniel
Hendayani
Graha, Purnama
Herdiyeni, Yeni
Fadhilah, Mohd Irfan
Hidayat, Asep
Falah, Syamsul
Irfani, Muhamad
Mas'ud, Zainal Alim
Anhar, Nuril
Ardiansyah, Firman
Fadhilah, Okta
Wulanawati, Arni
Noviardi, Harry
Sumaryada, Tony Ibnu
Kartono, Agus
Dino, M. Afif Rizal
Setiawan, Muhammad
Sumiati
Wiryawan, I Komang Gede
Manalu, Wasmen
Londok, Jola Josephien Mariane Roosje
Hasrini, Reno Fitri
Triwidodo, Hermanu
Pudjianto
Rauf, Aunu
Utami, Sri
Khatami, Aulia Maghfirotul
Anas, Iswandi
Anwar, Syaiful
Yahya, Sudirman
Djajakirana, Gunawan
Sasmita, Rr. Kurnia Dewi
Darmawati, Emmy
Sutrisno
Idayanti, Desi
Mansur, Irdika
Yuwono, Arief Sabdo
Juniarto, Arief
Chikmawati, Tatik
Miftahudin
Tnunay, Ite Morina Yostianti
Hermana, Widya
Nursiam, Intan
Hendrayanto
Simanjuntak, Hengki
Siregar, Iskandar Zulkarnain
Rahayu, Sri
Damayanti, Inggar
Mardiastuti, Ani
Sastranegara, Hafiyyan
Sumertajaya, I Made
Afendi, Mochammad Farit
Setiawan, Iman
Widodo, Slamet
Sudarmaji, Riski
Andarwulan, Nuri
Hunaefi, Dase
Ulvia, Besty Rizka
Yulianto, Muhamad
Hartulistiyoso, Edy
Hanafi, Adnan
Palupi, Nurheni Sri
Faridah, Didah Nur
Refli, Redoyan
Nurjanah
Asadatun, Abdullah
Diachanty, Seftylia
Sukenda, Sukenda
Pasaribu, Wesly
Hariyadi, Sigid
Fahrudin, Achmad
Supardi, Suparman
Tjahyandari, Dyiah
Telaumbanua, Setia Murni
Suyatma, Nugraha Edhi
Yuliana, Nancy Dewi
Utama, Rozi Satria
Fauzi, Shita
Kurnia, Anang
Aprizkiyandari, Siti
Fitroni, Fadillah
Nasdian, Fredian Tonny
Destindira, Satwika
