author,jml_penelitian
"Ma'arif,Syamsul",1
"Amanah,Siti",54
"Suartini,Iin",1
"Yamin,Moh",5
"Mulatsih,Sri",94
"Akmalia,AriDina",1
"Anggraeni,Lukytawati",60
"Andati,Trias",20
"Kusumaningrum,Dewi",1
"Rinaldi,Achi",3
"Firdaus,Muhammad",58
"Rachmina,Dwi",60
"Prihatiningtyas,MarseliChris",1
"Nindita,Anggi",4
"Kartika,DelimaRagil",1
"Arifin,HadiSusilo",58
"Muhammad,Afdhal",1
"Utami,FitriyahNurulHidayati",18
"Zulfikar,Arya",1
"Syafitri,UtamiDyah",82
"Sulvianti,ItasiaDina",46
"Utami,AmarantiSih",1
"Fatimah,IndungSitti",37
"Gani,AnnisaUtami",1
Sudradjat,40
"Diyansyah,AvanNur",1
"Madduppa,HawisH",39
"Humphries,AustinT",1
"Herjana,NugrahaAgung",1
Alimuddin,62
"Maulana,Fajar",40
"Abdurrachman,MuhammadLuthfi",1
"Bengen,DietriechG",23
"Srimariana,EndangSunarwati",39
"Karuniaillahi,MutiaraTiffani",1
"Prartono,Tri",56
"Kussuryani,Yanni",1
"Prastiko,RendyBudi",1
"Suptijah,Pipih",26
"Abdullah,Asadatun",85
"Maharani,SitiAgni",1
"Jusadi,Dedi",80
"Ekasari,Julie",67
"Silalahi,Marcellinus",1
"Tarman,Kustiariyah",65
"Nurhayati,Tati",69
"Fatmila,KikiGalih",1
"Hestirianoto,Totok",42
"Pujiyati,Sri",44
"Rifaldi,Muhammad",2
"Ayu,InnaPuspa",17
"Pratiwi,NikenTM",10
"Maulidiya,Ida",1
"Hubeis,Musa",76
"Riani,Etty",54
"Dewi,Mariena",1
"iFebrianto,Fauz",1
"Herliana,ElisNina",1
"Asmur,MuhammadAnchuKastian",1
"Muljono,Pudji",65
"Sadono,Dwi",43
Ikhsan,3
"Suganda,SulaemanMarta",1
"iWoyono,EkoSr",1
"Adam,Marwan",1
"Hermawan,Aji",13
"Yuliasih,Indah",54
"Supriadi,Jejen",1
"Masy'ud,Burhanuddin",47
"Meilani,Resti",12
"Kurniawan,AchmadRizki",1
"Puspaningsih,Nining",43
"Nurjaman,Agus",1
Widodo,21
"Prasetyo,GecciDwi",2
"Damayanti,TriAsmira",32
"Asmira,Tri",1
"Hafizh,MuhammadFikri",1
"Harahap,IdhamSakti",37
"Prasta,Enggar",1
"Nuryanti,Pingkan",18
"Avionita,Joanne",1
"Susanto,Slamet",34
"Rustani,Dona",1
"Purnamawati,Heni",57
"Wirnas,Desta",63
"Maulana,Ikhsan",2
"Wiryawan,Budy",37
"Puspito,Gondo",28
"Prianto,Teguh",1
"Baihaqi,Muhamd",1
"ENSD,LuciaCyrilla",9
"Ashari,ArifHidayad",2
"Jaya,Indra",57
"Iqbal,Muhammad",35
"Riyanto,Slamet",1
"Siregar,VincentiusP",28
"Gaol,JonsonLumban",42
"Putri,UlfahRahma",1
"Zamani,NeviatyPutri",49
"Setyobudiandi,Isdrajad",5
"Sofiani,Rosmalia",1
"Ulupi,Niken",47
"Satyaningtijas,AryaniS",1
"Anwar,David",1
"Rahmawati,Yanti",1
"Atabany,Afton",63
"Komala,Iyep",31
"Zein,DillaSyauqi",1
"Hermawan,Rachmad",53
"Sunarminto,Tutut",61
"Harisman,MuhammadIkhsan",2
"Wibowo,Cahyo",20
"Hadi,Sofyan",1
"Muntasib,EKSHarini",29
"Sunkar,Arzyana",62
"Sitanggang,PeseInka",1
"Darmawan,IWayan",27
"Azhari,Moh",1
"Mustari,AbdulHaris",24
"Khairunnisa,SriReski",1
"Jaya,INengahSurati",42
"Anggraini,Nanin",2
"Noventasari,Dwi",1
"Kusmana,Cecep",74
"Haneda,NoorFarikhah",42
"Ramadhan,BagasKurnia",1
Hardjanto,25
"Ghoni,Ilman",1
"Hadi,YusufSudo",52
"Nikmatin,Siti",31
"Massijaya,MuhYusram",14
"Solikhin,Achmad",1
"Soeboer,DeniAchmad",4
"Imron,Mohammad",40
"Nugraha,FaizalRivaldi",1
"Diatin,Iis",47
"Shafruddin,Dadang",28
"Sari,BettiPurnama",1
"Mashar,Ali",64
"Butet,NurlisaA",20
"Rossa,DiajengMarethaFabyana",1
"Putri,ElizaArieffiatiratna",1
"Sumaryanto,Heru",19
"Riyanto,Bambang",30
"Hakim,AbdulAziz",1
"Tumbelaka,LigayaITA",16
"Purwantara,Bambang",24
"Nova,Vicky",1
"Nurilmala,Mala",96
"Mustopa,AponZaenal",24
"Krisnawati,DeviKaroma",1
"Utomo,InggaDeckeKhrysandri",1
"Syaukat,Yusman",73
"Falatehan,AFaroby",59
"Kusworoini,IkaAprilia",1
